Group,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus
292.99825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282.03156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.03501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245.9901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190.02304,72737.75,0,0,0,0,0,0,0,0,125598.2344,0,0,95574.46875,0,0,49674.27734,47812.54688,0,0,0,48411.33594,48688.54688,0,0,51111.3164,54637.34766,63518.64006,0,0,0
190.02349,0,1000000600,81492.45313,89726.29688,75767.00156,1110093.96,97427.00313,1100593.3,11001800.81,0,1001386.125,1200619.82,0,10068005.79,115983.0063,0,0,52361.72266,4007400.652,45374.62101,0,0,410053.457,51975.33594,38956.832,0,0,45738.00352,529008.7852,59235.60055
190.02296,0,0,0,0,0,100546.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190.02394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190.02285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264.01733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.97155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121700.9746
361.0812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361.08139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361.08209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361.08066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165.06505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9128.365234,0,0,0,0
293.13102,0,0,0,0,0,0,0,0,0,0,100495.8501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167.11701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176.11715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
